Company Name|Last Price|% Chg|52 wkHigh|52 wkLow|Market Cap(Rs. cr)|

TCS|2,169.70|-0.92|2,332.00|1,504.40|814,154.91|
HUL|2,216.15|-1.43|2,614.00|1,660.00|520,695.53|
HDFC|1,876.20|-0.34|2,499.65|1,473.10|325,447.30|
Kotak Mahindra|1,374.25|2.42|1,739.95|1,000.35|271,946.15|
ITC|200.45|1.98|274.90|134.95|246,468.55|
Maruti Suzuki|6,077.95|1.19|7,755.00|4,002.00|183,602.75|
SBI|197.15|2.68|359.50|149.55|175,948.72|
Asian Paints|1,725.80|1.67|1,915.90|1,359.40|165,538.35|
Avenue Supermar|2,106.50|-0.11|2,559.00|1,370.05|136,453.74|
Larsen|916.30|-0.50|1,554.05|661.05|128,647.81|
Sun Pharma|476.80|0.54|512.55|315.20|114,400.29|
ONGC|82.85|0.24|149.65|51.80|104,227.61|
BPCL|462.00|2.61|549.70|252.00|100,219.48|
Power Grid Corp|181.45|1.06|216.20|129.75|94,927.19|
NTPC|90.90|0.55|133.50|74.00|89,941.53|
SBI Life Insura|872.65|1.47|1,030.00|520.00|87,268.49|
Bajaj Auto|3,009.25|0.82|3,315.00|1,793.10|87,077.77|
Coal India|133.45|-0.45|234.00|119.25|82,241.61|
M&M|604.35|2.12|621.00|245.80|75,132.34|
Pidilite Ind|1,377.00|-0.55|1,709.85|1,176.30|69,969.10|
Dr Reddys Labs|4,110.00|1.19|4,189.35|2,352.00|68,321.56|
Divis Labs|2,400.60|6.12|2,537.70|1,466.95|63,728.39|
Tech Mahindra|632.45|2.32|845.70|470.25|61,112.26|
Eicher Motors|20,731.60|4.29|23,427.75|12,460.00|56,608.61|
Hero Motocorp|2,760.85|-0.28|3,021.15|1,475.00|55,145.51|
HDFC AMC|2,504.00|-0.03|3,844.00|1,913.20|53,296.09|
Biocon|430.00|-0.23|455.00|211.30|51,600.00|
Berger Paints|521.00|0.32|597.45|305.25|50,600.55|
RIL Partly Paid|1,161.95|5.10|1,161.95|536.25|49,085.45|
GAIL|102.35|0.34|148.10|65.70|46,463.86|
United Spirits|610.50|2.51|742.95|443.00|44,361.29|
Siemens|1,165.60|-0.71|1,716.55|947.00|41,509.38|
Info Edge|3,281.40|2.97|3,310.00|1,580.00|40,202.45|
Tata Steel|351.50|0.40|505.95|250.90|39,596.11|
L&T Infotech|2,257.75|-3.10|2,349.90|1,207.60|39,370.99|
Bosch|13,249.30|-0.15|17,136.60|7,874.00|39,077.01|
Cadila Health|369.75|0.86|384.70|206.45|37,852.88|
Petronet LNG|252.05|-1.08|302.00|170.75|37,807.50|
TATA Cons. Prod|403.40|-0.79|437.75|214.00|37,175.40|
Bharti Infratel|200.15|-0.15|295.75|121.25|37,019.91|
IndusInd Bank|512.65|-0.16|1,596.35|235.60|35,555.66|
HPCL|232.15|1.60|329.25|155.00|35,375.54|
P and G|10,747.15|0.16|12,699.90|8,500.00|34,886.04|
Abbott India|15,590.00|4.38|18,569.00|8,299.80|33,127.66|
PNB|34.30|0.15|73.45|26.30|32,278.46|
Motherson Sumi|96.55|0.94|151.00|48.50|30,489.86|
Bajaj Holdings|2,670.00|0.39|3,949.35|1,471.85|29,715.37|
Whirlpool|2,272.35|0.83|2,570.00|1,343.00|28,829.72|
Container Corp|450.65|-0.19|665.05|263.20|27,457.85|
PI Industries|1,788.95|5.54|1,789.05|973.70|27,140.77|
