Company Name|Last Price|% Chg|52 wkHigh|52 wkLow|Market Cap(Rs. cr)|

TCS|2,174.00|-0.73|2,332.00|1,504.40|815,768.44|
HUL|2,218.00|-1.34|2,614.00|1,660.00|521,130.20|
HDFC|1,877.95|-0.25|2,499.65|1,473.10|325,750.86|
Kotak Mahindra|1,370.55|2.14|1,739.95|1,000.35|271,213.97|
ITC|201.00|2.26|274.90|134.95|247,144.81|
Maruti Suzuki|6,047.05|0.68|7,755.00|4,002.00|182,669.32|
HCL Tech|651.75|0.18|662.30|375.50|176,863.12|
Asian Paints|1,725.15|1.63|1,915.90|1,359.40|165,476.01|
Avenue Supermar|2,100.00|-0.42|2,559.00|1,370.05|136,032.69|
Larsen|916.35|-0.50|1,554.05|661.05|128,654.83|
Sun Pharma|476.30|0.43|512.55|315.20|114,280.32|
ONGC|82.40|-0.30|149.65|51.80|103,661.50|
BPCL|454.55|0.96|549.70|252.00|98,603.38|
Titan Company|1,070.00|1.15|1,389.85|720.00|94,993.12|
NTPC|90.65|0.28|133.50|74.00|89,694.16|
Bajaj Auto|3,041.30|1.89|3,315.00|1,793.10|88,005.19|
Hind Zinc|205.95|4.38|231.75|122.00|87,020.44|
Coal India|133.60|-0.34|234.00|119.25|82,334.05|
M&M|603.65|2.00|621.00|245.80|75,045.32|
SBI Cards|743.90|-1.31|798.00|495.25|69,849.00|
Dr Reddys Labs|4,130.00|1.68|4,189.35|2,352.00|68,654.03|
Adani Ports|314.20|0.71|428.95|203.40|63,837.64|
Tech Mahindra|633.50|2.49|845.70|470.25|61,213.72|
Eicher Motors|20,880.00|5.03|23,427.75|12,460.00|57,013.83|
Hero Motocorp|2,780.00|0.41|3,021.15|1,475.00|55,528.01|
HDFC AMC|2,499.95|-0.20|3,844.00|1,913.20|53,209.88|
Biocon|431.90|0.21|455.00|211.30|51,828.00|
JSW Steel|208.60|0.77|296.65|132.50|50,423.22|
Adani Green Ene|320.00|-4.79|486.60|38.60|50,048.46|
GAIL|102.30|0.29|148.10|65.70|46,441.17|
United Spirits|610.50|2.51|742.95|443.00|44,361.29|
Siemens|1,167.55|-0.54|1,716.55|947.00|41,578.82|
Info Edge|3,272.10|2.68|3,310.00|1,580.00|40,088.51|
Tata Steel|351.70|0.46|505.95|250.90|39,618.64|
Bosch|13,406.00|1.03|17,136.60|7,874.00|39,539.17|
Grasim|599.20|-0.41|938.90|380.00|39,415.76|
Havells India|607.30|3.79|765.10|447.20|38,017.77|
Colgate|1,391.00|-0.12|1,641.00|1,065.20|37,833.20|
TATA Cons. Prod|405.50|-0.27|437.75|214.00|37,368.92|
Interglobe Avi|963.85|-0.20|1,911.00|765.05|37,088.59|
IndusInd Bank|513.95|0.10|1,596.35|235.60|35,645.83|
DLF|142.55|-0.11|266.65|114.50|35,285.57|
P and G|10,706.55|-0.22|12,699.90|8,500.00|34,754.25|
Abbott India|15,480.00|3.64|18,569.00|8,299.80|32,893.92|
PNB|34.30|0.15|73.45|26.30|32,278.46|
Motherson Sumi|96.60|0.99|151.00|48.50|30,505.64|
Bajaj Holdings|2,665.95|0.24|3,949.35|1,471.85|29,670.29|
Whirlpool|2,264.00|0.46|2,570.00|1,343.00|28,723.78|
Container Corp|451.15|-0.08|665.05|263.20|27,488.31|
PI Industries|1,790.00|5.60|1,790.00|973.70|27,156.70|
